Archive:  students-tests.zip
   creating: /home/vlad/IST/asa/students-tests/
  inflating: /home/vlad/IST/asa/students-tests/st05.out  
  inflating: /home/vlad/IST/asa/students-tests/st01.in  
  inflating: /home/vlad/IST/asa/students-tests/st02.out  
  inflating: /home/vlad/IST/asa/students-tests/st04.in  
  inflating: /home/vlad/IST/asa/students-tests/st03.out  
  inflating: /home/vlad/IST/asa/students-tests/st03.in  
  inflating: /home/vlad/IST/asa/students-tests/st02.in  
  inflating: /home/vlad/IST/asa/students-tests/st04.out  
  inflating: /home/vlad/IST/asa/students-tests/st05.in  
  inflating: /home/vlad/IST/asa/students-tests/st01.out  
st01.in FAILED
st02.in FAILED
st03.in FAILED
st04.in FAILED
st05.in FAILED
Archive:  gerador.zip
  inflating: /home/vlad/IST/asa/gerador/gerador  
Running plotting tests; variable edges
500100 0.60
600100 0.62
700100 0.62
800100 0.61
900100 0.61
1000100 0.63
1100100 0.62
1200100 0.72
1300100 0.80
1400100 0.89
1500100 0.99
1600100 1.09
1700100 1.17
1800100 1.25
1900100 1.35
2000100 1.43
2100100 1.53
2200100 1.59
2300100 1.69
2400100 1.78
2500100 1.84
2600100 1.91
2700100 1.97
2800100 2.10
2900100 2.17
3000100 2.24
3100100 2.33
3200100 2.41
3300100 2.47
3400100 2.57
3500100 2.64
3600100 2.77
3700100 2.80
3800100 2.89
3900100 2.98
4000100 3.05
4100100 3.08
4200100 3.20
4300100 3.29
4400100 3.38
4500100 3.45
4600100 3.52
4700100 3.59
4800100 3.70
4900100 3.82
5000100 3.85
5100100 3.92
5200100 4.02
5300100 4.09
5400100 4.19
5500100 4.26
5600100 4.31
5700100 4.40
5800100 4.47
5900100 4.56
6000100 4.63
6100100 4.71
6200100 4.79
6300100 4.86
6400100 4.96
6500100 5.05
6600100 5.10
6700100 5.20
6800100 5.37
6900100 5.36
7000100 5.41
7100100 5.56
7200100 5.59
7300100 5.67
7400100 5.74
7500100 5.83
7600100 5.91
7700100 5.96
7800100 6.00
7900100 6.14
8000100 6.21
8100100 6.30
8200100 6.41
8300100 6.48
8400100 6.56
8500100 6.63
8600100 6.72
8700100 6.80
8800100 6.86
8900100 6.90
9000100 7.00
9100100 7.09
9200100 7.17
9300100 7.32
9400100 7.31
9500100 7.42
9600100 7.44
9700100 7.56
9800100 7.68
9900100 7.71
10000100 7.78
10100100 8.24
10200100 7.96
10300100 8.05
10400100 8.11
Running plotting tests; variable vertices
500100 0.00
600100 0.28
700100 0.38
800100 0.42
900100 0.47
1000100 0.61
1100100 0.77
1200100 0.93
1300100 1.10
1400100 1.27
1500100 1.40
1600100 1.59
1700100 1.79
1800100 1.94
1900100 2.11
2000100 2.29
2100100 2.48
2200100 2.67
2300100 2.84
2400100 3.01
2500100 3.14
2600100 3.34
2700100 3.50
2800100 3.68
2900100 3.85
3000100 4.04
3100100 4.22
3200100 4.39
3300100 4.59
3400100 4.76
3500100 4.92
3600100 5.11
3700100 5.30
3800100 5.44
3900100 5.66
4000100 5.81
4100100 5.93
4200100 6.20
4300100 6.38
4400100 6.55
4500100 6.74
4600100 6.93
4700100 7.03
4800100 7.28
4900100 7.44
5000100 7.56
5100100 7.81
5200100 7.96
5300100 8.13
5400100 8.34
5500100 8.48
5600100 8.69
5700100 8.86
5800100 9.03
5900100 9.24
6000100 9.45
6100100 9.59
6200100 9.75
6300100 9.98
6400100 10.16
6500100 10.33
6600100 10.50
6700100 10.75
6800100 10.89
6900100 11.03
7000100 11.14
7100100 11.31
7200100 11.59
7300100 11.83
7400100 12.01
7500100 12.12
7600100 12.27
7700100 12.55
7800100 12.66
7900100 12.92
8000100 13.06
8100100 13.31
8200100 13.40
8300100 13.72
8400100 13.83
8500100 14.10
8600100 14.25
8700100 14.45
8800100 14.63
8900100 14.86
9000100 14.98
9100100 15.21
9200100 15.47
9300100 15.64
9400100 15.82
9500100 15.99
9600100 16.09
9700100 16.49
9800100 16.45
9900100 16.75
10000100 16.79
10100100 17.14
10200100 17.35
10300100 17.46
10400100 17.62
Running plotting tests; #edges = #vertices
200 0.00
200200 0.07
400200 0.19
600200 0.33
800200 0.47
1000200 0.64
1200200 0.80
1400200 0.98
1600200 1.17
1800200 1.31
2000200 1.48
2200200 1.65
2400200 1.84
2600200 2.02
2800200 2.20
3000200 2.36
3200200 2.55
3400200 2.76
3600200 2.88
3800200 3.07
4000200 3.29
4200200 3.43
4400200 3.62
4600200 3.78
4800200 3.94
5000200 4.18
5200200 4.32
5400200 4.52
5600200 4.72
5800200 4.89
6000200 5.03
6200200 5.19
6400200 5.45
6600200 5.63
6800200 5.75
7000200 5.92
7200200 6.18
7400200 6.39
7600200 6.51
7800200 6.76
8000200 6.93
8200200 7.07
8400200 7.27
8600200 7.40
8800200 7.69
9000200 7.74
9200200 8.02
9400200 8.20
9600200 8.36
9800200 8.60
10000200 8.76
10200200 8.95
10400200 9.25
10600200 9.35
10800200 9.46
11000200 9.69
11200200 9.91
11400200 10.08
11600200 10.27
11800200 10.44
12000200 10.53
12200200 10.77
12400200 10.93
12600200 11.19
12800200 11.39
13000200 11.59
13200200 11.83
13400200 11.95
13600200 12.18
13800200 12.32
14000200 12.46
14200200 12.73
14400200 12.90
14600200 13.06
14800200 13.28
15000200 13.46
15200200 13.67
15400200 13.83
15600200 14.06
15800200 14.21
16000200 14.38
16200200 14.63
16400200 14.73
16600200 15.03
16800200 15.25
17000200 15.46
