[vertexNumber] [vertexNumber^3] [time]
Running time tests; sparse graphs
10100 1030301000000 0.02
40200 64964808000000 0.44
90300 736314327000000 1.85
160400 4126796864000000 3.45
250500 15718937625000000 6.88
360600 46889669016000000 17.32
490700 118153930643000000 28.27
640800 263128269312000000 38.16
810900 533214439029000000 61.18
1001000 1003003001000000000 67.77
1211100 1776396923631000000 91.79
1441200 2993455182528000000 157.13
1691300 4837956360497000000 138.02
1961400 7545682247544000000 243.85
2251500 -7033322632834551616 213.35
2561600 -1638051128813551616 374.88
2891700 5733445697503448384 320.56
3241800 -2824545608787103232 368.11
3611900 -8220029147969654848 465.39
4002000 8755815786871345152 739.16
Running time tests; dense graphs
10100 1030301000000 0.01
40200 64964808000000 0.03
90300 736314327000000 0.08
160400 4126796864000000 0.14
250500 15718937625000000 0.22
360600 46889669016000000 0.32
490700 118153930643000000 0.44
640800 263128269312000000 0.59
810900 533214439029000000 0.73
1001000 1003003001000000000 0.91
1211100 1776396923631000000 1.10
1441200 2993455182528000000 1.30
1691300 4837956360497000000 1.53
1961400 7545682247544000000 1.81
2251500 -7033322632834551616 2.05
2561600 -1638051128813551616 2.35
2891700 5733445697503448384 2.63
3241800 -2824545608787103232 2.93
3611900 -8220029147969654848 3.25
4002000 8755815786871345152 3.62
Running memory tests; dense graphs only
[vertexNumber] [totalMemory] [time]
10100 3987152 38917488
40200 15797504 148807280
90300 35318376 331695187
160400 63120448 588489752
250500 97869560 918314295
360600 141289480 1321581885
490700 192379392 1801420341
640800 252584160 2349986048
810900 316462800 2968467886
1001000 391664232 3776688225
1211100 478968968 4564077107
1441200 565403800 5425242459
1691300 659365560 6361298675
1961400 769831768 7399801860
2251500 894213536 8482518048
2561600 1010735584 9653473184
2891700 1134768112 10890410942
3241800 1266327600 12202319394
3611900 1420592584 13633611013
4002000 1567193608 15079476282
