[vertexNumber] [time]
Running time tests; sparse graphs
10100 0.02 
40200 0.39 
90300 1.53 
160400 3.21 
250500 6.34 
360600 10.58 
490700 23.80 
640800 36.38 
810900 53.55 
1001000 60.09 
1211100 81.18 
1441200 129.38 
1691300 166.30 
1961400 205.73 
2251500 262.45 
2561600 234.46 
Running time tests; dense graphs
10100 0.00 
40200 0.03 
90300 0.07 
160400 0.14 
250500 0.21 
360600 0.30 
490700 0.41 
640800 0.54 
810900 0.67 
1001000 0.84 
1211100 1.02 
1441200 1.21 
1691300 1.41 
1961400 1.65 
2251500 1.89 
2561600 2.14 
